text,text_english
obrolon orang intelektual gibran mana kek gin,"What's Gibran's intellectual person talking about, Gin?"
konten aku jatuh cinta sama musik dengar tinggal agam asa,content i fell in love with music listen to live religion hope
stand with anies baswedan,stand with anies baswedan
omong omong fun factnya lho kerabat anies baswedan jago catur nama abubakar baswedan jadi abdurrahman baswedan ar baswedan kakek anies baswedan jadi pahlawan nasional ada juga jawara catur surabaya nama abubakar baswedan bahkan beliau sempat ikut olimpiade catur leipzig,"By the way, it's fun, you know, Anies Baswedan's relative is good at chess, his name is Abubakar Baswedan, so Abdurrahman Baswedan, Ar Baswedan, Anies Baswedan's grandfather is a national hero, there is also a chess champion from Surabaya, his name is Abubakar Baswedan, he even took part in the Leipzig Chess Olympiad"
umur baru tahun lihat video bagi ini edukasi baik buka tahu anak muda melek politik,"New years old, watch this video for good education, let young people know about political literacy"
hso please asam sulfat bunuh ibu janin buah tahu amat sangat dangkal,hso please sulfuric acid kills mother fetus fruit tofu very very shallow
jam minum amp tetap fokus topik main bagus job,drink time amp stay focused topic play good job
semangat oposisi,opposition spirit
cara pak anies ngadepin masalah jujur inspirasi banget moga ogut bisa kaya beliau ngadepin masalah shout out to mas panji know make question while also playing chess is not easy but cooked every question so well,Mr. Anies' way of dealing with problems honestly is really inspiring. I hope Ogut can be like him in dealing with problems. Shout out to Mas Panji. Know make questions while also playing chess is not easy but cooked every question so well
tempat ajar politik sik nih,this is a place to teach politics
otak gua pas pas tp dengerin masuk semua,My brain is just right but listen to everything
bukan cuma talkshow kuliah sks,not just a talk show for college credits
idoloo,idol
jam kasih minum si abah,time to give dad a drink
sound nya kurang keras bang pandji volume full dulu baru denger suara bicara,"The sound is not loud enough, bro Pandji, turn the volume to full first before you can hear the voice talking"
kurang wasit host khusus catur jadi last move yang ingetin wrong move yang ingetin biar masing fokus gaya main bicara kayak kasi banget panji jadi host wasit catur loh wasit catur kan bagai main wkwk,"There's not enough host referees who specialize in chess, so the last move is the one that remembers the wrong move, so that everyone can focus on the playing style, the speaking style is like kasi, really a banner, being the host chess referee, you know, chess refereeing is like playing hahaha"
gue kalo situ puyeng banget aslibrmana mikirin jawabanbrmana mikirin catur,"I'm really confused when I'm there, how can I think about the answer, how can I think about chess"
respect bang pandjibrsudah kenan bikin podcast walaupun catur cuma gimik brsemoga lawan bicara episode lanjut orangorang punya integritas tinggi pak anies rasyid baswedanbrhormat kepada pak anies,"respect bang pandjibr, you have made a podcast even though chess is just a gimmick, hopefully the people who will be talking in the next episode will have high integrity, Mr. Anies Rasyid Baswedan, respect to Mr. Anies"
imunitas lol orang influencer nanya anak anak random buat pilih disekolahin kuliah lulus rb pilih duit dong wkwkwk,immunity lol influencers ask random kids to choose which school to go to college to graduate in 2000 choose money lol
anies baswedan the true of gentle amp fair brtabik,anies baswedan the truth of gentle & fair brtabik
anjir soal hukum aja pikir dl wkwkw kasi bukti real lah,"Just think about the law, hahaha, give me real evidence"
tanya dong tpgup nya wkwkwkw kl sama anies cuma tnya soal orang tanya lah hasil kerja dki nya,"ask tpgup hahaha if you only ask about people with Anies, ask about the results of DKI's work"
heranknp orang tidak bagus di beri pangungwkwkw,It's surprising that people aren't good at being given the spotlight
indonesia sangat butuh sosok ikut serius cerdas bangsa pak anies,"Indonesia really needs a figure who is serious about being an intelligent nation, Mr. Anies"
undang ibu megawati dong,please invite Mrs Megawati
kasi kasih minum,give me a drink
rakyat tidak nonton seperti,people don't watch like
aku tetep all in joget all in boruto semua borutooooobrall in joget all in boruto,I'm still all in dancing all in boruto all borutooooobrall in dancing all in boruto
takar menang kalah iya kayak,measure win lose yes like
nanggung mas panji kurang panjang acara nih demen beud denger jawab pak anies,"Waiting for Mas Panji isn't long enough for this event, I'm excited to hear Mr. Anies' answer"
great conversation,great conversation
mantap bang,great bro
beda ubah atur sistem catur ubah undangundang umur calon,different change set chess system change law age of candidate
like this conversation,like this conversation
orang cerdas kalah sama,smart people lose to each other
asli nyangka samsek bakal menang pak aniss,"I really thought Samsek would win, Mr. Aniss"
dukung pilih prabowo lebih suka anies ganjar awal suka ganjar anies anda prabowo gak maju karena ganjar tolak piala dunia u hilang rasa kagum sehingga suka anies,support choose prabowo prefer anies ganjar early like ganjar anies you prabowo not running because ganjar rejected the world cup you lost your sense of admiration so you like anies
saran bang pandji tampil catur jgn atas pake kaya game catur aja biar demen catur dqn nonton paham posisi nya seperti apa,"Pandji's advice for playing chess, don't just use it like a chess game, so that if you like chess and watch it, you will understand what position it is in."
omong pak anis semua bukti,Mr. Anis said all the evidence
di tuntut beril takut tuhan,demanded to have fear of God
kereen emang jawab nya negarawan panji keren bikin acara gin salut,It's really cool to say that a cool banner statesman is holding a gin salute event
yuk yuk jangan becanda milih calon presiden udah cukup becandanya dari ampe sekarang kalo di undang si mah menit kelar game nya banyak yo ndak tau jangan tanya,"Come on, come on, don't be a joke. Voting for a presidential candidate has been enough of a joke from now on. If you are invited, the game will be finished in a lot of minutes, don't know, don't ask."
tidak terllalu erti catur nikmat bicara bang pandji pak anies saya bisa rasa berapa pikir pak anies politis,"not really understanding chess, it's nice to talk, bang pandji, pak anies, I can feel how much pak anies thinks politically"
keren banget abah gw main catur podcast jawab ilmu semua amp cara sangat hati,really cool my dad plays chess podcast answers all knowledge amp how to be very careful
abis nonton skakmat sahroni terus mampir kemari asa langit amp bumi,"After watching Sahroni's Checkmate, I kept coming here, hope for heaven & earth"
menit jawab investor ikn kabur yaa karna ulah sendiri suka otak atik atur main akhir rakyat peras abisabisan,"Minutes to answer, IKN investors run away because of their own actions, they like to manipulate and play around, in the end they squeeze the people to death"
ngobrol nya jadi kurang blasss wawancara mikir catur,"The conversation became less blassy, ​​the interview was thinking about chess"
bayang sh klau ajak main catur ngobrolseseorang itu,Imagine if you invited someone to play chess and chat
biaya politik jepang batas terlalu besar kait kampanye atur arus sama calon iklan politik tidak boleh lebih besar banyak reall adu gagas baliho bilboard ukur sama semua di atur kpu tempat dana kampanye transparan mana di lapor di audit,"Japan's political costs are too high for campaigning, regulate the flow of political advertisements between candidates and can't be too big, lots of real ideas, billboards, billboards, measure the same, everything is regulated by the KPU, where transparent campaign funds are reported in an audit"
anies is him,anies is him
paling tegang saat panji nanya ttg pak surya paloh baru kali aku nunggu jawab pak anies diam cukup lama pas udh dijwab trnyata jawab dalem bngt,"I was most tense when Panji asked about Mr. Surya Paloh, the first time I waited for Mr. Anies to answer, he was silent for a long time when he answered, but he answered really deeply."
juga terpana omong kosong,also stunned bullshit
udh lah pisahin aja content catur sama content ngobrol ribet liat,Just separate the chess content from the complicated chatting content
bung panji lebih elegant podcas skakmat kata bgua nyab dihapusbrbrbpenonton bingung lisan englis nyab,Bung Panji is more elegant podcas checkmate my bgua words nyab deletedbrbrbaudience confused about spoken English nyab
href paman mk jawab,href uncle mk replied
makasih konten bpk panji sehatsehat terus bpk panji,"Thank you for the content, Mr. Panji, stay healthy, Mr. Panji"
bagus sharing,nice sharing
allah tolong ilah pimpin amanah jujur adil anis bimbing jalan amp pimpin yang dholim khianat hancur beri balas timpal atas jahat aamiin,"Allah, please, lead the faithful, be honest, be fair, guide the way & lead those who are treacherous, doomed to destruction, give recompense for evil, amen."
maa syaa allah,thank God
gila nih mas pandji bikin podcast udah konten berat tambah mikir tanding catur host bintang tamu jd serius tp suka,"This is crazy, Mr. Pandji, making a podcast has heavy content, thinking about chess matches, hosting guest stars, so it's serious, but I like it"
alhamdulillah pertama beliau gurbernur dkisudah mantap pilih beliaudan bangga di baris dukung perubahansehat selalu pak anies baswedansalam hormat,"Thank God, first of all, the governor of DKI has firmly chosen him and is proud to be in the ranks of supporting change. Always be healthy, Mr. Anies Baswedan, best regards"
