author,published_at,updated_at,like_count,text
@Mexopiecee,2024-08-14T05:41:05Z,2024-08-14T05:41:05Z,0,"Dia dengan bangganya membicarakan sendiri bahwa yang terpilih adalah orang yang amplopnya tebal, selama dialog ini banyak sekali kalimat yang berbelit-belit, bahkan ini adalah video dengan durasi paling pendek dalam episode Skakmat ini. Dan sepertinya Mas Pandji juga udah males ngomong sama orang ini makannya dia cepetin tempo permainannya biar cepet selesai ."
@verlinryuzen,2024-08-09T07:53:30Z,2024-08-09T07:53:30Z,0,"OOOOOHHHH BISNISNYA DIBANTU PARTAI UNTUK MEMBANTU PARTAI, PANTES CUANNYA BANYAK."
@coid606,2024-08-08T20:26:05Z,2024-08-08T20:26:05Z,0,"Kayaknya ngobrol sama Dustin tidak lebih buruk.<br>Gue rada skeptis sama episod ini makanya baru nonton. terus udah dari sebelum nonton nurunin ekspetasi, ternyata harus turun lagi 😂"
@coid606,2024-08-08T20:22:04Z,2024-08-08T20:22:04Z,0,dari sini kita tau tipikal politikus yg menang karena logistik 😂
@kejubasi,2024-08-06T23:38:29Z,2024-08-06T23:38:29Z,0,"Jadi tau ternyata gitu pola pikirnya. Sama aja rupanya. 😅<br><br>Keren juga panji konsepnya, sambil main catur bikin lawan bicara kepecah konsentrasinya main catur. Jadi susah dan efort klo harus nutupin boongnya, jadi beberapa jawaban pasti ada salah satunya yg apa adanya tapi tetep ada yg ditutupin. 😂 Keren bang panji"
@zakimuhammad9941,2024-08-02T23:40:15Z,2024-08-02T23:40:15Z,0,"Cepet amat bang pandji maen nya? Kudu banyak yg dikulik dari dia, gampang bocor ni seru"
@PatoliciousDelicioso,2024-08-02T11:18:04Z,2024-08-02T11:18:04Z,0,Masa iya cuma 20 menit
@anwaribrahim9137,2024-08-02T07:18:26Z,2024-08-02T07:18:26Z,0,"menurut saya, pebisnis tidak cocok masuk pemerintahan"
@anandachelvin4719,2024-08-01T22:35:41Z,2024-08-01T22:35:41Z,0,"bang, undang bambang pacul dong"
@mohamadakbar6360,2024-08-01T17:51:24Z,2024-08-01T17:51:24Z,0,"bang, mending undang sony wakwau si ketimbang ni orang."
@haidirIdi-no9bv,2024-08-01T10:43:46Z,2024-08-01T10:43:46Z,0,Gokil bang.... Ini stand up terlucu bang pandji yg pernah gw tonton😅😅😅
@haidirIdi-no9bv,2024-08-01T10:34:01Z,2024-08-01T10:34:01Z,0,Keren podcast lo bang sambil Maincatur... 😅
@mammon7868,2024-07-29T08:22:31Z,2024-07-29T08:22:31Z,0,orang toIoI
@Fikrizale,2024-07-27T08:20:03Z,2024-07-27T08:20:03Z,0,"Tolong undang Pak dedi mulyadi di SKAKMAT, terima kasih."
@dimassuryaadinugraha1285,2024-07-25T17:19:43Z,2024-07-25T17:19:43Z,0,tiket him udah abis ya bang??
@rogerfederer6124,2024-07-25T14:36:15Z,2024-07-25T14:36:15Z,0,Undang Rocky Gerung bg
@E-Fun582,2024-07-25T13:36:59Z,2024-07-25T13:36:59Z,0,Bang undang bambang pacul dong😂
@residuapi,2024-07-25T01:14:59Z,2024-07-25T01:14:59Z,0,Ngomong apa jir😂
@malayunited7747,2024-07-24T14:54:15Z,2024-07-24T14:54:15Z,0,Lah cuma 20menit gak kaya yang lain
@user-mf2fu8fv3r,2024-07-24T02:09:03Z,2024-07-24T02:09:03Z,0,Gokil sih Ahmad Sharoni.... 👏👏👏👏
@Fur964,2024-07-23T08:15:43Z,2024-07-23T08:15:43Z,0,catur aja males dengerin lama&quot; jadi cepet beres hahaha
@ARopiantaGintingM,2024-07-22T06:32:49Z,2024-07-22T06:32:49Z,0,"bang pandji &quot;sengaja&quot; kalah nih,.. no &quot;things&quot; to dig kah?"
