author,published_at,updated_at,like_count,text
@verrypay9162,2024-08-15T09:12:28Z,2024-08-15T09:12:28Z,0,Obrolan daging semua...❤
@fadrianich9320,2024-08-15T08:39:08Z,2024-08-15T08:39:08Z,0,"Pemilu 2024 merupakan pembelajaran dari Pak Anies, agar rakyat Indonesia cerdas, pemilu 2029 rakyat Indonesia InshaaAllaah sudah cerdas. InshaaAllaah Anies jadi Presiden RI"
@JhonSafar-zt7uq,2024-08-15T03:56:01Z,2024-08-15T03:56:01Z,0,Orang Jujur ❤
@Prodemocrasi,2024-08-14T17:10:09Z,2024-08-14T17:10:09Z,1,"Klu pak anis di ty jawaban nya rinci dan jelas...beda dgn Jokowi klu di ty.. jawaban cuma 2...1..ty sama yg py urusan..2..ngg tau kok ty saya...disini kita bisa melihat kepintaran,  rasa tanggung jawab, dan etika seorang pemimpin"
@DigiMediaprod,2024-08-14T17:08:28Z,2024-08-14T17:08:28Z,0,Bravo anis
@ngajirun4542,2024-08-14T12:49:49Z,2024-08-14T12:49:49Z,0,Gila.... pemikiran pak Anies Baswedan daging semua.
@syaifuddin85,2024-08-13T23:01:15Z,2024-08-13T23:01:15Z,0,"Kalau boleh usul, program skakmat ini jangan sambil maen catur, caturnya jadikan background. Cukup dipajang saja."
@qwqegdqhtdyt,2024-08-13T21:32:25Z,2024-08-13T21:32:25Z,0,Daging
@irfandajons2087,2024-08-13T13:48:24Z,2024-08-13T13:48:24Z,0,Anis lah pilihannya 100% hancur politik dinasti ya Allah pak Anis yg paling di nantikan
@Piyayi,2024-08-12T01:32:30Z,2024-08-12T01:32:30Z,0,Stand With Anies Baswedan
@dikisuryadi6075,2024-08-11T02:33:43Z,2024-08-11T02:33:43Z,0,Pak Anies Baswedan 👍👍👍
@harjitojito3801,2024-08-09T12:33:12Z,2024-08-09T12:33:12Z,0,Anis hanya padai bicara tapi gak padai bekerja
@mohamadhandynugraha,2024-08-09T08:53:59Z,2024-08-09T09:00:31Z,0,"Agak oot, gw malah fokus ke Opening move caturnya @<a href=""https://www.youtube.com/watch?v=TaAdJ7u_jj8&amp;t=284"">4:44</a> 🧐🧐"
@muhammadrozalizali1163,2024-08-09T06:02:12Z,2024-08-09T06:02:12Z,0,Pak anis memang mantap 🔥
@Dy58810,2024-08-09T04:50:06Z,2024-08-09T04:50:06Z,0,"Menurut saya, soal gagalnya partai-partai membina kader untuk jadi eksekutif itu benar tapi tidak sesederhana itu. Ada satu masalah penting yang memengaruhi itu: masyarakat kita sangat populis. Orang-orang hanya akan memilih yang populer. Sampai saat ini, pilihan orang hanya jatuh pada mereka yang dikenalnya, tidak peduli rekam jejaknya gimana, kompetensinya apa, tidak peduli backgroundnya apa. Alasan &quot;yang penting bisa kerja&quot;, itu belum dipahami bahwa ngga cukup asal bisa kerja. Kata Buya Hamka juga, kalau kerja ya kera juga kerja. Apa bedanya orang dengan kera kalau begitu? Perbedaan terletak pada orang itu kompeten atau tidak dalam pekerjaannya. Sebagian besar masyarakat kita masih ngga ngerti itu. Makanya mereka hanya akan terbuai dengan jalan tol, BLT atau bansos,  pejabat masuk gorong-gorong, kunjungan a dan b, dsb. Akhirnya, partai-partai pun hanya mementingkan elektabilitas. Lembaga survey jadi alat buat memengaruhi opini publik dari tingkat elektabilitas, makanya banyak survey pesanan. Mau dia kompeten atau ngga, peduli amat. Karena kalau elektabilitas tinggi, partai menang, partai dapat menikmati tampuk kekuasaan. Masalah membangun negeri? itu belakangan. Partai jadi tidak lagi mementingkan pembinaan kader berkualitas dan mempromosikan mereka ke masyarakat luas. Partai sendiri jarang sekali terjun langsung dalam keseharian masayarakat, makanya secara umum ngga akan ada yang kenal sama mereka dan mereka ngga ngerti membangun negeri gimana. Wong kejarannya adalah kekuasaan: power and money. Kesimpulannya semua masalah ini berkelindan begitu eratnya."
@pujiharyanto9996,2024-08-09T04:19:44Z,2024-08-09T04:39:48Z,0,Gw pesimis deh 100% GOLPUT mo pemilu presiden atau pemimpin daerah yg menang sllu yg bermasalah. Gw kurng setuju kta pak anis bilang rakyat kita tidak bermasalah. Faktanya yg menang sllu bermasalah pdhl rakyat yg pilih. Artinya yg milih juga bermasalah. <br><br>Kita lupa bahwa pemilih dinegara ini 80% menengah kebawah artinya mereka rentan disogok. Mo terpelajar gimanapun pemilih  yg sisa 20% tetap yg akan menang yg memuaskan perut si 80% pemilih td. Karna negara demokrasi  suara orang waras ama orang gila nilainya sma sma 1.<br><br>Kesimpulanya ga ada guna nyoblos berharap dpt pemimpin yg bagus slagi ekonomi mayoritas rakyat Indonesia 80% msh morat marit😂
@abdullahgymnastiarramadhan4755,2024-08-06T08:03:02Z,2024-08-06T08:03:02Z,0,"Inilah alasan kenapa orang wajib sekolah kalau bisa setinggi tingginya, agar kita gak jadi orang plonga plongo😂😂"
@sugiyantoyoso7858,2024-08-05T12:03:16Z,2024-08-05T12:03:16Z,0,"Kalau negara ini isinya hanya mengandalkan uang untuk berkuasa, maka orang seperti pak Anies akan dikalahkan dengan segala cara. Jangankan rakyat jelata, untuk level penjabat negara dan penjabat publik saja masih sangat mudah dikalahkan oleh uang. Tidak sedikit penjabat kita yang rela mengorbankan dirinya untuk menjadi penjilat di negeri ini."
@mamikpurwati3031,2024-08-05T07:55:55Z,2024-08-05T07:55:55Z,0,Mohon bahasa sederhana tidak ke Inggris inggrisan kami orang kecil bisa faham
@basyaruddin6409,2024-08-05T03:52:48Z,2024-08-05T03:52:48Z,0,"Domokrasi, alam dan manusia berinteraksi secara ideal dan harmonis."
@frankhayyie3715,2024-08-04T15:03:32Z,2024-08-04T15:03:32Z,0,Anis &amp; Panji 🙌🏻🚀
@Victorium_Official,2024-08-04T13:19:27Z,2024-08-04T13:20:58Z,0,"<a href=""https://www.youtube.com/watch?v=TaAdJ7u_jj8&amp;t=1758"">29:18</a> ini yang katanya si paling menerima kekalahan.Dia sendiri lebih sadis ternyata😂😂"
@cetmbiyen682,2024-08-03T16:27:56Z,2024-08-03T16:27:56Z,0,Indonesia blm secerdas itu untuk punya pemimpinnya seperti pak Anis...kt masih suka yg penuh Gimik/dram/joget <br><br>Msh disitu kualitas ky SBG Bangsa
@purqon1689,2024-08-03T13:45:45Z,2024-08-03T13:45:45Z,0,negarawan yg luar biasa❤❤sll ada pelajaran yg bisa diambil dlm setiap ucapan..
@agungkrisna7426,2024-08-03T01:27:45Z,2024-08-03T01:27:45Z,0,Pak Anies terbaik. Sayang bangsa ini belum siap
@tedipurwanto7027,2024-08-02T21:12:02Z,2024-08-02T21:12:02Z,0,Menurut saya pertanyaannya masih seperti jubirnya sih.
@AlmerRagilAmri-zb3vr,2024-07-31T04:23:45Z,2024-07-31T04:23:45Z,0,"Undang semua capres dan cawapres ke skakmat dong, pasti seru Wkwkwk"
@twozie100,2024-07-30T03:17:05Z,2024-07-30T03:17:05Z,0,Bangga di barisan mu pak anies ❤❤❤❤❤
@adityawibawa1989,2024-07-29T17:35:06Z,2024-07-29T17:35:06Z,0,Panji puas main catur
@mohdharisbinsaprani5135,2024-07-29T06:04:54Z,2024-07-29T06:04:54Z,0,😍😍😍😍😍☝️👍💪 selamat abah haji Anis Baswedan 😍😍😍😍
@kafilahgoldup1,2024-07-29T05:34:41Z,2024-07-29T05:34:41Z,0,Apa kabar dulu 7juta orang yang demo penista agama dan akhirnya anies naik?? Pada demo bela palestina gak ke 7juta orang itu? Atau dulu hanya bela kepentingan?
@wahyunugroho5105,2024-07-28T22:37:27Z,2024-07-28T22:37:27Z,0,Ngomong opo
@poppynurjannah5427,2024-07-28T05:46:00Z,2024-07-28T05:46:00Z,0,Kalo ngobrolnya sama pak jokowi pasti ngaco jawabannya ni
@Zhen-pe3su,2024-07-27T04:16:04Z,2024-07-27T04:16:04Z,0,"Gurih banget ketawa bang panji saat nunjuk mas anis, merasa dicurangi yah😂😂😂😂"
@giffarmasabih8108,2024-07-26T05:30:18Z,2024-07-26T05:30:18Z,0,"Democracy is only as good as it&#39;s people<br><br>Indonesian democracy is BAD, cause it&#39;s the people that make it BAD"
@BarraHanafi,2024-07-26T03:50:23Z,2024-07-26T03:50:23Z,0,"orang cerdas gini bisa kalah sama yang joged-joged gemoy, klo ga di aisenodni mana bisa wkwkwkwk"
@aggressive7,2024-07-25T22:40:45Z,2024-07-25T22:40:45Z,0,ANIES BARU PERTAMA AJA UDAH SALAH LANGKAH😂
@jzanyparas1658,2024-07-25T18:56:29Z,2024-07-25T18:56:29Z,0,Sejauh ini.. Saya suka pak anis dan pak emil..<br>Dari para pemimpin se indonesia
@fosfosfos6175,2024-07-25T10:28:15Z,2024-07-25T10:28:15Z,0,rajanya kebalik
@gamerygrey,2024-07-24T23:00:51Z,2024-07-24T23:00:51Z,0,"<a href=""https://www.youtube.com/watch?v=TaAdJ7u_jj8&amp;t=1970"">32:50</a> Pertanyaan saya terjawab spt yg saya kira. Sbnrnya itu yg rakyat pengusung ABW inginkan pak, berkorban berjuang. Pak ABW malah diam, menerima keputusan. Nol yg meninggal tp perusakan negara oleh rezim rusak lebih dalam dan terus menerus dibiarkan. Salah langkah yg ke 2, yg 1 dgn memilih wapres yg salah."
@muhammadsyafiial-ghazali7777,2024-07-24T16:42:34Z,2024-07-24T16:42:34Z,0,UNDANG PRESIDEN JOKOWI TAPI NTARAN SETELAH SELESAI JADI PRESIDEN BIAR GA GANGGU KESIBUKAN BELIAU
@arsip_kementerian,2024-07-24T08:01:27Z,2024-07-24T08:01:27Z,0,"<a href=""https://www.youtube.com/watch?v=TaAdJ7u_jj8&amp;t=1008"">16:48</a> panji said"
@user-op7wf9pb9d,2024-07-24T04:46:32Z,2024-07-24T04:46:32Z,0,Pak anis pemimpin kui🔥🔥🔥🔥
@trirusnanto2286,2024-07-24T03:54:56Z,2024-07-24T03:54:56Z,0,"Pak Anies belum pernah ketemu Pemilihan Kuwu (kepala desa) ya?? <br>Lebih greget dibanding pemiliha apapun 🤭🤭🤣🤣 <br>Pelanggaran terjadi dimana2, money politik nya gede2an 🤭🤭👍🏻👍🏻"
@nbl007_,2024-07-24T03:47:32Z,2024-07-24T03:47:32Z,0,"Posisi raja selalu berada di warna petak yang berlawanan. Misal raja putih maka diletakkan di petak hitam, begitu sebaliknya."
@pratitasaraswati9515,2024-07-24T02:40:49Z,2024-07-24T02:40:49Z,0,"Masya Allah pak Anies. Saya merinding mendengarkan cerita bapak soal korban² 5 tahun silam, dan menjadi hal yg bapak pikirkan pasca pilpres era bapak maju. Semoga Allah mudahkan jalan pak Anies"
@VYRUSYO,2024-07-22T08:42:19Z,2024-07-22T08:42:19Z,0,"Bahkan prabowo aj anggep anies ini org yg bagus dan berkualitas, harusnya bangga negara ini punya dosen sekaligus berjiwa rakyat"
@kimtia7106,2024-07-22T04:58:58Z,2024-07-22T04:58:58Z,0,"Ya allah lindungi pak anies dr kecurangan dinasty jokowi,jadikan pak anies presiden 2029 sehatkan badannya."
@bapakmahfudz8499,2024-07-22T04:25:17Z,2024-07-22T04:25:17Z,0,"Orang cerdas berbincang dengan orang cerdas.....asyik tentu, dan mencerdaskan yang mengikutinya."
@arofsayabanibani7608,2024-07-21T09:16:24Z,2024-07-21T09:16:24Z,0,Keren... Cerdas... Idealis nya terjaga... <br>Kok mau subscribe harus pangganan ya bg?
@muhammadsurya6715,2024-07-21T00:42:57Z,2024-07-21T00:42:57Z,0,Daging smua isinya
@nitizen620,2024-07-20T08:39:36Z,2024-07-20T08:39:36Z,0,"Dari jawaban dan wawasan literasinya sangat luas, orang berpendidikan tidak meraguakan lagi pak Anis baswedan, jakarta merupakan kota dengan angka pendidikan tertinggi baling banyak banyak profesor doktor mahasiswa mahasiswi insinyur"
@muhamadandrimubarok4651,2024-07-20T03:57:46Z,2024-07-20T03:57:46Z,0,"saran pake jam giliran catur bang, biar bisa tau giliran siapa yang maju ,😬"
@fitritanakal8057,2024-07-20T02:42:31Z,2024-07-20T02:42:31Z,0,"Suka nih podcast nya panji..intelek,pinter keren sih..dr yg ga tu jd tau..dpt ilmu dan wawasan politik"
@dreamcatcher5146,2024-07-19T17:51:43Z,2024-07-19T17:51:43Z,0,Alhamdulillah beliau tetap jadi oposisi❤
@ariffadilah1912,2024-07-19T16:24:31Z,2024-07-19T16:24:31Z,0,Disini Yang &quot;KALAH&quot; Catur siapa😅
