author,published_at,updated_at,like_count,text
@user-ps6if7mr5n,2024-08-13T15:47:55Z,2024-08-13T15:47:55Z,0,obrolon org intelektual. gibran mana bisa kek gini.
@nandaafrilliansyah2074,2024-08-12T04:37:22Z,2024-08-12T04:37:22Z,0,di konten ini Aku jatuh cinta sama Musiknya. setiap didengarkan meninggalkan beragam perasaan
@Piyayi,2024-08-12T02:36:14Z,2024-08-12T02:36:14Z,0,Stand with anies baswedan
@randyoi7391,2024-08-09T09:12:09Z,2024-08-09T09:12:09Z,0,"BTW fun fact-nya, ada lho kerabat Anies Baswedan yang jago catur, namanya Abubakar Baswedan. Jadi selain ada Abdurrahman Baswedan (AR Baswedan, kakek Anies Baswedan) yg jadi pahlawan nasional, ada juga jawara catur Surabaya yg namanya Abubakar Baswedan itu. Bahkan beliau sempat ikut Olimpiade Catur di Leipzig 1960."
@DokumentasiNajma,2024-08-08T14:17:05Z,2024-08-08T14:17:05Z,0,"umur saya baru 18 tahun ketika melihat video ini, bagi saya ini adalah edukasi yang baik untuk membuka pengetahuan anak muda agar melek politik"
@hafshahchania7916,2024-08-05T14:57:46Z,2024-08-05T14:57:46Z,0,H2so4 please asam sulfat untuk membunuh ibu dan janin 🫣 sebuah pengetahuan yg amat sangat dangkal
@mfarrelghazali6870,2024-07-30T17:09:57Z,2024-07-30T17:09:57Z,0,2 jam tanpa minum &amp; tetap fokus pada topik serta permainan. Good Job 👏
@suciutami4092,2024-07-28T11:49:45Z,2024-07-28T11:49:45Z,0,Semangat oposisi
@reyu418,2024-07-27T05:42:26Z,2024-07-27T05:42:26Z,0,"Cara pak anies dalam ngadepin masalah jujur inspirasi banget, semoga ogut juga bisa kaya beliau dalam ngadepin masalah,, dan shout out to mas panji, i know make a question while also playing chess is not easy but u cooked every question so well🙏"
@IbnuQoyyim-gl8zp,2024-07-27T03:10:17Z,2024-07-27T03:10:17Z,0,Tempat belajar politik yang sik nih
@abdultaopik1095,2024-07-25T04:26:54Z,2024-07-25T04:26:54Z,0,otak gua yg pas pasan tp dengerin masuk semua😮
@cloudywhitecotton,2024-07-24T07:44:07Z,2024-07-24T07:44:07Z,0,"Ini bukan cuma talkshow, ini kuliah 4 SKS."
@MiftahudDiaz84,2024-07-23T17:31:42Z,2024-07-23T17:31:42Z,0,idoloo
@dwiharso8857,2024-07-22T16:55:30Z,2024-07-22T16:55:30Z,0,2 jam ngga dikasih minum si abah 😂
@ramandaputra2641,2024-07-22T11:58:53Z,2024-07-22T11:58:53Z,0,"Sound nya kurang keras bang Pandji, volume harus full dulu baru denger suara yg bicara"
@pokerevenji7408,2024-07-21T11:46:20Z,2024-07-21T11:46:20Z,0,"kurang wasit dan host khusus caturnya ini, jadi setiap last move ada yang ingetin, setiap wrong move ada yang ingetin. biar masing2 bisa fokus ke gaya permainan dan pembicaraan, kayaknya kasian banget panji harus jadi host dan wasit catur, loh wasit catur? kan dia sebagai pemain juga wkwk"
@indraask3181,2024-07-21T02:02:26Z,2024-07-21T02:02:26Z,0,Gue kalo disitu Puyeng banget asli..<br>Mana mikirin jawaban<br>Mana mikirin catur😅
@satriadwi4239,2024-07-20T18:25:36Z,2024-07-20T18:25:36Z,0,Respect kepada bang Pandji<br>Sudah berkenan bikin podcast ini (walaupun caturnya cuma gimik 😂)<br>Semoga lawan bicara di episode selanjutnya juga orang-orang yang punya integritas tinggi seperti pak Anies Rasyid Baswedan.<br>Hormat saya kepada pak Anies.
@katsvgaming,2024-07-20T17:46:21Z,2024-07-20T17:46:21Z,0,Imunitas? LOL.. orang ada influencer nanya ke anak anak random buat pilih disekolahin kuliah sampai lulus atau 100rb.. pilih duit dong wkwkwk
@muhammadrikzapanatagama5685,2024-07-20T14:42:48Z,2024-07-20T15:04:41Z,0,Anies Baswedan ; the true of Gentle &amp; Fair !<br>Tabik🙏
@fernandofery4489,2024-07-20T05:05:11Z,2024-07-20T05:05:11Z,0,Anjir soal hukum aja dipikir dl. Wkwkw kasi bukti real lah
@fernandofery4489,2024-07-20T05:01:50Z,2024-07-20T05:01:50Z,0,Tanya dong TPGUP nya wkwkwkw kl sm anies cm tnya soal org lain. Tanya lah hasil kerja DKI nya
@zuliansyahmuhammad9743,2024-07-20T02:15:23Z,2024-07-20T02:15:23Z,0,Masih heran...knp orang yg tidak bagus masih di beri pangung.....wkwkw
@dianindah829,2024-07-19T06:38:16Z,2024-07-19T06:38:16Z,0,Indonesia sangat butuh sosok yang ikut serius mencerdaskan bangsa seperti pak Anies.
@allanhardyanperkasa,2024-07-19T01:15:56Z,2024-07-19T01:15:56Z,1,undang IBU MEGAWATI Dong 🔥🔥🔥
@edimarsisno8150,2024-07-18T08:38:28Z,2024-07-18T08:38:28Z,0,"kasian, ga dikasih minum.."
@loirenamutiaradewi6480,2024-07-18T08:01:05Z,2024-07-18T08:01:05Z,0,Rakyat 58% ada ga yg nonton hal seperti ini?
@ryuzakihalim8966,2024-07-18T03:39:30Z,2024-07-18T03:39:30Z,0,"AKU TETEP ALL IN JOGET, ALL IN BORUTO, SEMUA DEMI BORUTOOOOO<br>ALL IN JOGET = ALL IN BORUTO"
@AGH15,2024-07-17T18:41:15Z,2024-07-17T18:41:15Z,0,"Menakarnya menang kalah ya, kayaknya"
@soonsegera7843,2024-07-17T15:05:54Z,2024-07-17T15:05:54Z,0,"nanggung mas panji, kurang panjang acaranya nih 😅 demen beud denger jawaban pak anies"
@elpablitorodriguezharrera,2024-07-17T13:04:56Z,2024-07-17T13:04:56Z,0,Great conversation!
@witosarlaw,2024-07-17T04:44:41Z,2024-07-17T04:44:41Z,0,mantap bang
@Ronling157,2024-07-17T02:07:10Z,2024-07-17T02:07:10Z,0,Beda antara mengubah aturan sistem catur dengan mengubah undang-undang tentang umur pencalonan
@NindySyafira,2024-07-15T15:20:31Z,2024-07-15T15:20:31Z,0,I like this conversation...
@dhanyarmandojaka174,2024-07-15T00:25:16Z,2024-07-15T00:25:16Z,0,Orang cerdas ini kalah sama 58%😢
@adityarahadi952,2024-07-13T13:22:33Z,2024-07-13T13:22:33Z,0,asli ga nyangka samsek yang bakalan menang pak aniss
@Ronling157,2024-07-13T11:15:46Z,2024-07-13T11:15:46Z,0,Saya pendukung dan pemilih Prabowo saya lebih suka anies daripada ganjar. Awalnya Saya suka ke ganjar daripada anies seandainya Prabowo gak maju. Namun karena ganjar menolak piala dunia u20 hilanglah rasa kekaguman saya sehingga saya menyukai anies
@udawahyuhamidi4999,2024-07-13T04:27:01Z,2024-07-13T04:27:01Z,1,"Saran bang Pandji, untuk tampilan caturnya jgn dari atas, pake yg kaya di game catur aja, biar yg demen catur dqn nonton bisa paham posisi nya lg seperti apa 😁🙏"
@SalmiyahSalmiyah-r7b,2024-07-13T03:37:51Z,2024-07-13T03:37:51Z,0,Omongan pak Anis semua terbukti 😂
@Jackxander93,2024-07-12T16:13:08Z,2024-07-12T16:13:08Z,0,Kita di tuntut berilmu untuk takut dengan tuhan
