author,published_at,updated_at,like_count,text
@PurtuPareman,2024-08-15T10:22:12Z,2024-08-15T10:22:12Z,0,Keputusan temen temennya untuk ngga hadir diundang pandji kayaknya bener dah. Karna ini sekalinya muncul ngga ngejawab malah makin keliatan tong kosong nyaring bunyinya hahahhaa
@mmaulanaazis,2024-08-15T10:20:08Z,2024-08-15T10:20:08Z,0,Kaesang di acara kiky saputri aja ga bisa bedain antara visi sama misi. Gmn bisa jadi ketum partai 😅
@jemmynugraha,2024-08-15T10:16:34Z,2024-08-15T10:16:34Z,0,"Penjelasan panjang lebar, tp untuk menutupi kebrobrokan dinasti, hasilnya cm omong kosong"
@diazalmimo,2024-08-15T10:02:12Z,2024-08-15T10:02:12Z,0,ketawanya fals bgt om dedek
@Alinnst15,2024-08-15T10:01:22Z,2024-08-15T10:01:22Z,0,"Jujur semuanya sudah ketebak tidak ada yang baru, ratusan fans pakde ngomong hal serupa jadi cuma merefresh ingatan aja. Yang faedah cuma kedipan mas Pandji aja wkwkwkwk."
@natanaelmarjito3553,2024-08-15T09:54:15Z,2024-08-15T09:56:32Z,0,"Partai baru masih menjadi harapan buat orang2 yang bosen dengan politisi tua paratai yang  berkuasa, analogi mas panji tentang sepatu kurang bisa di terapkan di iklim politik indonesia, partai baru memberi janji yg berbeda soal uud perampasan aset,soal diskriminasi dll.. <br>Kenapa kita harus membersihkan sepatu ? Kenapa tidak kita buang aja kalau ada sepatu yang baru,, kalau mas panji mau membersihkan dengan cara apa di dunia politik kita, anak muda masih punya idialis dan semangat juang.. <br>Mas panji pikiranya bukan seorang politisi tapi seorang pengamat yang menyalahkan yang di sana dan disini..mas panji menginginkan idialisme dari perjuangan. tapi tidak setuju dengan partai baru yang mengusung nilai baru dan berbeda dengan politikus tua dan mapan..dan menang dengan logistig yang kuat.. <br>Semoga mas panji bisa gabung dengan anak2 muda yg memperjuangkan nilai2 baru walaupun  sudah banyak yang mengingkari .."
@tedirinaldi3026,2024-08-15T09:48:08Z,2024-08-15T09:48:08Z,0,Pertanyaan Kenapa Milih Kesang ? Lucu sih Jawabannya.
@thatakurniawan8237,2024-08-15T09:47:29Z,2024-08-15T09:47:29Z,0,"Kasian, jawabannya mbulet....sama dg yg disanjung."
@dharmaadyann,2024-08-15T09:37:42Z,2024-08-15T09:37:42Z,0,"Walaupun poin argumennya banyak yang kureng, tapi saya sebagai mahasiswa perlu mempelajari cara bicara Pak Dedek Uki ini. Lanyah pol😅🙏"
@permana410,2024-08-15T09:34:50Z,2024-08-15T09:34:50Z,0,"Tanpa kalian sadari, psi ini kalo kita ambil bahasa nya komandan pacul &quot; Psi ini korea yang sebntr lagi melenting&quot;<br>Korea banget ni psi"
@safirafauziah7819,2024-08-15T09:31:15Z,2024-08-15T09:31:15Z,0,enek bgt dengernya. yaallahhhhhhhhh pengen bgt ngoceh tp lelah
@anwarf3019,2024-08-15T09:28:50Z,2024-08-15T09:28:50Z,0,Akhirnya PSI bisa tenang karena gak bakal dikejar lagi bang Pandji untuk datang ke Skakmat
@hardyosefan,2024-08-15T09:22:10Z,2024-08-15T09:22:10Z,0,"partai buzzer, gak lebih"
@Presiden_Tua_Banget,2024-08-15T09:09:02Z,2024-08-15T09:09:02Z,0,PARTAI KOSONG DARI ANAK ANAK NOL ...
@studiodarurat_,2024-08-15T09:06:47Z,2024-08-15T09:06:47Z,0,"<a href=""https://www.youtube.com/watch?v=VMxBtbkueZ8&amp;t=1264"">21:04</a> - <a href=""https://www.youtube.com/watch?v=VMxBtbkueZ8&amp;t=1271"">21:11</a> secepat itu doi lupa sama &quot;langkahnya&quot; sendiri 🗿"
@alvihazami9662,2024-08-15T08:32:49Z,2024-08-15T08:32:49Z,0,Yang terakhir “pak jokowi melarang kaesang maju” lah lu liat noh banner di jalan Jakarta kaesang mulu an😅
@pramudyatrinanda185,2024-08-15T08:28:32Z,2024-08-15T08:28:32Z,0,di 1 jam 15 menit adalah pertanyaan terkonyol yang pernah gua dengar
@aldibakhtiar4719,2024-08-15T08:26:05Z,2024-08-15T08:26:05Z,0,Ga abis nontonnya. Bosan nengok si psi ini.
@APONGKY99,2024-08-15T07:59:04Z,2024-08-15T07:59:30Z,0,😮😮
@shainawear,2024-08-15T07:52:33Z,2024-08-15T07:52:33Z,0,1 kata mbulet
@galiarta8057,2024-08-15T07:44:40Z,2024-08-15T07:44:40Z,0,"Bang luuu curangg di menit <a href=""https://www.youtube.com/watch?v=VMxBtbkueZ8&amp;t=3940"">1:05:40</a>. Langsung ngambil 2 luuu yaaa"
@alfitravet8824,2024-08-15T07:41:39Z,2024-08-15T07:41:39Z,0,Cape banget nyapu
@didansupriadi3631,2024-08-15T07:40:54Z,2024-08-15T07:40:54Z,0,Ko males nontonnya
@sultanagungbudisyah3533,2024-08-15T07:39:55Z,2024-08-15T07:39:55Z,0,ga ada isinya itu orang
@dsfnpmgks,2024-08-15T07:16:46Z,2024-08-15T07:16:46Z,0,Bangke that word about evan dimas itu lucu pol😂😂😂😂
@Rio-mw7js,2024-08-15T07:15:43Z,2024-08-15T07:15:43Z,0,Mau lihat kapasitas otak kader partai yg jadi &quot;pelacur&quot; politik
@kingofkong3080,2024-08-15T07:05:19Z,2024-08-15T07:05:19Z,0,Asuww..penjelasan membagongkan dari awal..
@bungbess,2024-08-15T07:03:40Z,2024-08-15T07:03:40Z,0,"<a href=""https://www.youtube.com/watch?v=VMxBtbkueZ8&amp;t=3107"">51:47</a> yup ini intinya.. MATINYA KEPAKARAN DI NEGARA INI"
@bg_rudd,2024-08-15T06:54:29Z,2024-08-15T06:54:29Z,0,Baru kali ini nonton skakmat gak sampe setengah 😂
@rezaalrasyid8181,2024-08-15T06:48:55Z,2024-08-15T06:48:55Z,0,"sori ya nge dislike, enek, capek, dengerin politisi psi ngomong, kocak!"
@rezaalrasyid8181,2024-08-15T06:45:01Z,2024-08-15T06:45:01Z,0,"ngomong apa lu mas uki, kocak!!!"
@SuperSugondo,2024-08-15T06:39:25Z,2024-08-15T06:39:25Z,0,Menghindari soeharto tapi meluk prabowow
@arkandamaryudha,2024-08-15T06:39:21Z,2024-08-15T06:39:48Z,0,bang saran langka caturnya diselesaiin dulu aja baru mulai pertanyaan.<br><br>jadi alurnya gini:<br>Lu Jalan =&gt; Lawan Lu Jalan =&gt; Pertanyaan<br><br>Jadi gak pusing mikirin sekarang giliran siapa yang jalan. Kadang ini juga dijadikan narsum untuk mengalihkan pembicaraan.
@SuperSugondo,2024-08-15T06:37:03Z,2024-08-15T06:37:03Z,0,Alus banget bang panji kata GOBLOG di ganti &#39;aneh&#39;
@bungbess,2024-08-15T06:27:50Z,2024-08-15T06:27:50Z,0,Kaesang blm punya ukuran keberhasilan dalam dunia politik.. PSI ga masuk senayan.. kalo partai normal harusnya udah munas ganti ketum baru.. jadi yaa ga bisa dinilai apa pun selain privilege nya sebagai anak jokowi.. that&#39;s it..
@0xerve,2024-08-15T06:11:28Z,2024-08-15T06:11:28Z,0,"Denger nya malu sendiri, kok ada laki2 gak tanggung2 jilat nya."
@priyasigit9254,2024-08-15T06:09:31Z,2024-08-15T06:09:31Z,0,"Anjir, kalo ketum yang sesuai itu ya si grace natalie,,pencalonan kaesang jadi ketum karena &quot;psi partainya pak jokowi&quot; tinggal jawab gitu aja"
@faisalriza229,2024-08-15T06:07:37Z,2024-08-15T06:07:37Z,0,"Bang Panji, dari awal nonton program SKAKMAT Pak Anis sm sekarang, ada pertanyaan nih bang,<br>Kalau Narsum nya ndak bisa main catur, apakah tetap dijalankan program SKAKMAT yang mengundang Narsum tersebut bang?<br><br>Terimakasih bang....."
@ewie08,2024-08-15T05:57:54Z,2024-08-15T05:57:54Z,0,"Pak Jokowi tidak bisa dibaca isi pikirannya, apakah masa depan anak-anak Indonesia harus bergantung ke isi kepala pak Jokowi? 😢"
@unclekim0,2024-08-15T05:38:33Z,2024-08-15T05:38:33Z,0,Jujur baru 15 menit udh ga tahan gw nontonnya
@1908monster,2024-08-15T05:32:59Z,2024-08-15T05:32:59Z,0,Gibrang digoreng tp dari dulu AHY n Puan pd anteng. Pada dasarnya Politik Dinasti cuma gorengan oposisi aja. Netizen sebaiknya bedain privilege dan dinasti dulu aja. Politik memang spt itu.<br>Klo gak mau ada dinasti ya gak usah pilih Gibran. Sesederhana itu. Buktinya kan terpilih dan resmi.
@anisawulandari3760,2024-08-15T05:17:33Z,2024-08-15T05:17:33Z,0,KAESANG PUNYA BELASAN USAHA SUKSES BUKAN KARENA DANA APBN? GAK SALAH DENGER GUE?
@harrybrosnan,2024-08-15T05:11:16Z,2024-08-15T05:11:16Z,0,Politisi otak kosong
@hafizmursid974,2024-08-15T04:58:36Z,2024-08-15T04:58:36Z,0,"<a href=""https://www.youtube.com/watch?v=VMxBtbkueZ8&amp;t=809"">13:29</a><br>&quot;kalau soal itu, gw ga bisa jawab&quot;<br>buseettt kocakk"
@deniloekmansyah,2024-08-15T04:38:29Z,2024-08-15T04:38:29Z,0,"Ini bagus sih, dan saya dapet bebeapa poin yang bisa diambil kesimpulan dari kondisi perpolitikan di Indonesia. Ada poin yang saya highlight di perbincangan ini; &quot;gak bisa logika teknokratik diimplementasikan langsung ke kerja elektoral&quot;. Ini mah pemahaman politik masyarakatnya juga mesti naik kelas sih, karena partai politik akan selalu melakukan kerja elektoral sesuai dengan &quot;selera pasar&quot;. Dalam hal ini Pandji sudah melakukan edukasi buat masyarakat, tapi masih segmented. Bagus, tapi gak bisa sendirian. Ini mah tugas negara sih buat mencerdaskan masyarakat."
@TheNORIZ,2024-08-15T04:37:19Z,2024-08-15T04:37:19Z,0,Politisi pnjilat...
@rahmatcbr2538,2024-08-15T04:35:40Z,2024-08-15T04:35:40Z,0,"di rezim ini banyak Gaslighter termasuk partainya, untuk mengejar negara Asean lain seperti Vietnam, negara ini akan kesulitan."
@anthonyadinaputra4356,2024-08-15T04:33:42Z,2024-08-15T04:33:42Z,0,"Itu catur gausalah, jadi distraction aja"
@mandaf6805,2024-08-15T04:29:44Z,2024-08-15T04:29:44Z,0,&quot;yang lainnya itu kan udah kesandra&quot; uuhhhhh... nyelekit brooo
@MariTV___,2024-08-15T04:13:52Z,2024-08-15T04:13:52Z,0,"&quot;Uki: Semua gugatan ditolak.&quot;, ya iyalah ditolak, karena semuanya ada dalam genggaman kekuasaan presiden."
@yusimagdalenaa508,2024-08-15T04:11:00Z,2024-08-15T04:11:00Z,0,"Justru serem gk sih kl lu punya atasan yg lu gk tau isi pikirannya, dia jg tdk menjelaskan, tp dia merintahin lu sesuatu, makin lucu krna lu jalanin aja tanpa bertanya&quot; gitu loh."
@OrdinaryKid_BrawlStar,2024-08-15T03:59:04Z,2024-08-15T03:59:04Z,0,Kirain bakal ada respon bang pandji yang kayak di Total Politik
@denden1318,2024-08-15T03:52:30Z,2024-08-15T03:54:48Z,0,Ngabalin versi tatoan 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
@dekur155,2024-08-15T03:36:19Z,2024-08-15T03:36:19Z,0,bang udah bang 😭
@doeldelinquency,2024-08-15T03:33:09Z,2024-08-15T03:33:24Z,0,Setelah menonton....Jawaban Politisi akan selalu menjawabnya secara politis....ya memang begitu adanya....mau gimana lagi.....<br><br><br>Gw mau nyari Politisi yang jawabannya ga politis tapi dari hati......susah kaya nya yah....
@arhiarya6530,2024-08-15T03:29:32Z,2024-08-15T03:29:32Z,0,"Suci banget jokowi itu yaaa, tiap dengar org yg pro dengan dia, dia seperti org yg sangat suci dan cinta tulus dengan indonesia, tapi sayangnya kita TIDAK BUTA, kita TIDAK BODOH. kita PUNYA MATA, PUNYA HATI DAN PUNYA PIKIRAN. kita tau mana yg benar dan salah, mana yang nyata dan tidak. gua org proyek dan pernah d kunjungi jokowi, betapa naifnya PRESIDEN SUCI ITU, merangkai semua agenda pencintraannya dengan sangat nyata, anehnya banyak yg terpesona, sedih bgt liat indonesia, sedihh"
