author,published_at,updated_at,like_count,text
@g.m.r.suryadiredja,2024-08-15T02:31:12Z,2024-08-15T02:31:12Z,0,"<a href=""https://www.youtube.com/watch?v=g0Doh6BYS6k&amp;t=289"">4:49</a> beneran bakal kejadian ges ini pertanyaan wkwk"
@ahmadrofik-n3k,2024-08-13T16:31:37Z,2024-08-13T16:31:37Z,0,"Pertanyaan bang Panji terlalu polos semua 😂 sehingga bang Fajri dengan gak sadar banyak ngelesnya ^_^ <br>Manusiawi lah, kalau semua manusia itu ingin membesarkan usahanya ^_^ kalau dipolitik ya yang paling gampang merapat aja 😂😂😂😂😂"
@puunpuunxp,2024-08-13T07:53:09Z,2024-08-13T07:53:09Z,0,keren pak muh
@aquamanm-x9y,2024-08-12T21:18:05Z,2024-08-12T21:18:05Z,0,opemingnya vibenya ky mata najwa wktu masih di metro dah
@aqmalthoriq7267,2024-08-12T18:01:08Z,2024-08-12T18:01:08Z,0,"ada potensi kesalahan logika dari pandji dengan menyamakan parpol dengan sepatu kotor. Harusnya untuk menjawab pertanyaan tentang &quot;sepatu kotor&quot; sebelum nya harus dikonfirmasi tentang betul ndak sepatu kotornya harus tetep disimpan di kamar, klo tidak bisa dbersihkan, ya dibuang dan ditinggalkan supaya kamr tidak bau, lantas tidak hars menyalahkan kenapa harus membeli sepatu baru"
@ninoscooters,2024-08-12T16:15:34Z,2024-08-12T16:18:37Z,1,"Demokrasi itu penduduk dengan jumlah sedikit,SDM bagus..itu bisa terjadi dan sangat baik..klo penduduk sudah hampir 300jt,SDM campur aduk,trus kedaulatan di tanggan mereka(Rakyat) ya isinya ribut mulu,di provokasi dikit Rusuh..Asing tebar duit 10T ke pelosok,bisa2 Kudeta negara..aku salah satu orang yg tidak depakat dengan sistem Demokrasi,lemaahhh..mudah di setir..ini ciptaan Nato kan??  I say. now.hidup otoriter...uuraaa..majapahit"
@Sugeng-m8b,2024-08-09T20:04:54Z,2024-08-09T20:04:54Z,0,Pikiran fahri jos suka...
@Sugeng-m8b,2024-08-09T20:01:35Z,2024-08-09T20:01:35Z,0,"Kasih kopi atau minum kali, bibir tenggorokannya kering lho ngomong lama begitu"
@arezascarlet,2024-08-09T03:42:38Z,2024-08-09T03:42:38Z,0,"damn, im respect your knowledge of politics"
@maulanar465,2024-08-09T02:28:36Z,2024-08-09T02:28:36Z,0,"Akhhh ini dia, seru ni penyeimbang<br><br>Selama ini dipaksa algoritma media sosial untuk terus melihat apa yg kita dukung dan kita suka<br><br>Sekarang saatnya mengenal pihak bersebrangan"
@reg-west,2024-08-08T04:02:36Z,2024-08-08T04:02:36Z,0,"Pak Fahri bilang &quot;demokrasi tentang ide dan gagasan, kalo bukan itu yg dipikirkan, demokrasi akan di ganti dengan kekuasaan dan uang&quot;<br><br>menurut saya, Kok yg di dukung berbeda dengan konsep demokrasi yg di sebut.<br>mantap mas pandji, konten2 mencerdaskan, dan menambah wawasan berpolitik<br>sehat terus untuk kita semua"
@BadBuddhaSX,2024-08-07T07:21:19Z,2024-08-07T07:21:19Z,0,"Lebih seneng liat tampilan layar saat mindahin bidak caturnya dibikin full, ga multi screen yg satu kecil kaya kemarin2 wkwkw"
@mhgibraan,2024-08-07T02:35:07Z,2024-08-07T02:35:07Z,0,"Secara personal, Fahri hamzah ini sangat cerdas dan pandai dalam membagi pandangan terhadap keadaan politik saat ini."
@qoryabdi5167,2024-08-06T15:55:06Z,2024-08-06T15:55:06Z,0,"Saya kalau mmng mau ikut jadi Anggota Partai, emg Role modelnya ke Pak Fahri Hamzah. Saya kagum sm Beliau."
@astowo17channel3,2024-08-06T08:40:36Z,2024-08-06T08:40:36Z,0,"Salut dengan argumen dan narasi dari Bang Fahri. selalu menyenangkan mendengarkan bang Fahri berdialektika. Tapi Bang Fahri, tolong diingat bahwa pemerintah ini menjalankan pemerintahan dengan anggaran dari warga. Modal operasionalnya dari Rahyat dan Rakyat menginginkan orang2 yang menjalankan seluruh perangkat kenegaraan ini adalah orang yang berkualitas dan punya kapabilitas, bukan bagi2 tempat hanya untuk orang yang berjuang saja."
@honor9lite1337,2024-08-05T17:46:03Z,2024-08-05T17:46:03Z,0,Ok
@pamungkashadi2241,2024-08-05T11:30:14Z,2024-08-05T11:30:14Z,0,Partai inget rakyat cuma waktu coblosan satt lah.😩
@AkhmadZubaerri,2024-08-04T16:47:47Z,2024-08-04T16:47:47Z,0,Orang kayak gini kok diundang bacotnya doang gede
@arifsasongkojoediantoro4983,2024-08-03T00:42:27Z,2024-08-03T00:42:27Z,0,ambil catur yang kuno
@sephianingsih9887,2024-08-01T15:27:20Z,2024-08-01T15:27:20Z,0,"Judulnya bagus,,,seolah2😂😂😂"
@buanabambang9858,2024-08-01T15:05:55Z,2024-08-01T15:05:55Z,1,Dari arah ngomong Fahri ni SDH spoil tentang balek ke zaman orba lagi yah 😅
@rhezahaikhal1446,2024-08-01T05:52:36Z,2024-08-01T05:52:36Z,0,Bagus sih bang. Platform lu. Secara gk udah belajar politik..
@zeroonezeroforezeroone,2024-08-01T03:54:01Z,2024-08-01T03:54:01Z,0,"sebel gua sama rambutnya bung Fahri, ada yg nongol 1 helai rasanya pengen gua cabut wkwkwk"
@salmanindibath,2024-07-31T16:41:28Z,2024-07-31T16:41:28Z,0,Lu ngomong apa sih ri
@reyliem08,2024-07-31T08:09:37Z,2024-07-31T08:09:37Z,0,"jujur konten ini aku suka banget bang, banyak wawasan politik yang mudah dipahami bagiku (Seorang awam politik)"
@tahyudin5928,2024-07-31T07:48:06Z,2024-07-31T07:53:16Z,0,pak.panji sejujurnya catur itu harus mikir.narasumbernya nga fokus ngomong jadinnya nih.omongannya juga berat malah maen catur adehhh.anehhh
@panggahkabul,2024-07-31T06:43:22Z,2024-07-31T06:43:22Z,0,pak muh
@rizqidwik.2588,2024-07-29T14:13:40Z,2024-07-29T14:13:40Z,0,WIH KONSEPNYA SERU BANGET... GW SUKA GW SUKA!
@austinwardhani,2024-07-29T08:19:03Z,2024-07-29T08:41:38Z,0,"dulu jahat ngehujat jokowi, setelah prabowo gabung jokowi, si Fahri jadi SLOW MOTIOOOOON, <br><br>DULU JELEK2IN JOKOWI, SEKARANG GABUNG PRABOWO/JOKOWI KARENA GAK MUNGKIN SATU PERAHU GELORA DAN PKS, DAN GELORA TERPINGGIRKAN JIKA DISANDINGKAN DENGAN PKS, SAYANG YA... HARIMAU DULU YANG GANAS JADI KUCING RUMAHAN DENGAN JAWABAN JAWABAN DIPLOMATIS SEAKAN MEMBENARKAN YANG SALAH"
@JejakDigitalKU,2024-07-29T07:05:27Z,2024-07-29T07:05:27Z,0,"Usul tambah cess-clock di meja om, biar gak lupa mulu siapa yang jatah gerak."
