author,published_at,updated_at,like_count,text
@komangiwan,2024-08-14T14:04:12Z,2024-08-14T14:04:12Z,0,"disana taplak, disini serbettt"
@tatararengkyu,2024-08-10T10:27:46Z,2024-08-10T10:28:27Z,0,"Makin tua makin mirip pak Ganjar ini bang ferdi nuril<br><br>Dengan nonton ini, akhirnya gw punya alasan nontonin film fedi nuril sm pandji"
@bismaridhopambudi8530,2024-08-09T08:20:08Z,2024-08-09T08:20:08Z,0,Kusmayanto Kadiman mah REKTOR LU BANG HAHAHAHAHAHA
@anhaacollection3748,2024-08-07T19:59:27Z,2024-08-07T19:59:27Z,0,Alasanku sm g memilih 02 sm fedi &amp; aku jg sm gak suka yg mencla mencle
@haryarifkypratama5561,2024-08-06T16:06:59Z,2024-08-06T16:06:59Z,0,"Suka kontennya, tapi audionya sedikit jomplang hehe, next bisa diperhatiin lagi team, sukses selalu yaa"
@ibalep,2024-08-06T05:13:04Z,2024-08-06T05:13:04Z,0,Audio film G30SPKI
@candy1000le,2024-08-05T15:44:03Z,2024-08-05T15:44:03Z,0,why is fedi nuril kinda look like ganjar pranowo or am i dreaming.... 😭😭😭
@ewie08,2024-08-05T06:58:39Z,2024-08-05T06:58:39Z,0,Pratik boys :D
@evf244,2024-08-04T13:41:45Z,2024-08-04T13:41:45Z,0,Kirain orangnya deep ternyata cupu . Dangkal ....basisnya dangkal
@rudianto5645,2024-08-04T04:29:09Z,2024-08-04T04:29:09Z,0,Audionyaa kenapa inii
@ayuniratnadewi9266,2024-08-04T03:07:53Z,2024-08-04T03:07:53Z,0,"Sorry bang suaramu mendem, tapi ini podcast keren."
@Labib_1453,2024-08-04T02:05:27Z,2024-08-04T02:05:27Z,0,"<a href=""https://www.youtube.com/watch?v=77JPtOtYraE&amp;t=4149"">1:09:09</a> indikasi kecurangan"
@triantika915,2024-08-03T16:58:37Z,2024-08-03T16:58:37Z,0,mngp
@Nisaiueo,2024-08-02T19:55:09Z,2024-08-02T19:55:09Z,0,"Orang yg ga suka kalo kritik soal politik tuh ANEH. Itu pejabat publik digaji pake duit pajak gue, pajak bapak gue, pajak kakak adek gue, ya gue berhak lah kritik. Gimana sih, dasar taplak"
@mohammadfaqih278,2024-08-02T17:41:00Z,2024-08-02T17:41:00Z,0,gue seneng sama public figure kaya pandji kaya fedi yang mau speak up dan mengamankan kewarasan gue sebagai warga negara Indonesia biasa a.k.a rakyat jelata
@ranggaadinegara9380,2024-08-02T13:06:41Z,2024-08-02T13:06:41Z,0,Iyaaaa semua video skakmat jelek amat huhuhu
@BagasDanur,2024-08-01T09:02:30Z,2024-08-01T09:02:30Z,0,bang undang guru gembul
@superpenk1785,2024-08-01T04:27:24Z,2024-08-01T04:27:24Z,0,Spill judul film yg bareng Panji 🙏🏻
@lambekucing9663,2024-08-01T03:52:53Z,2024-08-01T03:52:53Z,0,doyok ali oncom lanjut lagi dong
@skyblueflowergrass,2024-07-31T13:16:09Z,2024-07-31T13:16:09Z,0,makasi bang Pandji udah ngundang El Taplak. Semakin kagum sama belio.
