author,published_at,updated_at,like_count,text
@dzakyprasista6575,2024-08-15T02:25:34Z,2024-08-15T02:25:34Z,0,Kasus kanjuruhan juga musti dijaga di ingatan masyarakat supaya bisa benar-benar diusut tuntas.
@muhamadali1015,2024-08-14T17:23:34Z,2024-08-14T17:23:34Z,0,caturnya bikin boring
@adehermawan6837,2024-08-14T15:46:23Z,2024-08-14T15:46:23Z,0,Rocky bung panji
@biarkanaku4911,2024-08-14T11:48:01Z,2024-08-14T11:48:01Z,0,Abis baca Laut Bercerita. Sedih banget
@alfifauziah674,2024-08-14T11:32:47Z,2024-08-14T11:32:47Z,0,"Buat saya, Haris Azhar adalah cowok terganteng di Indonesia"
@Ipank_Ariza,2024-08-13T15:48:07Z,2024-08-13T15:48:07Z,0,Undang Rocky Gerung bng
@NindySyafira,2024-08-13T14:38:02Z,2024-08-13T14:38:02Z,0,Woyo Woyo🥲
@Efendi-tw5zl,2024-08-13T13:37:43Z,2024-08-13T13:37:43Z,0,"Bang Pandji, Pakai Alat jam catur, biar ga bingung ini siapa yg harus jalan 😅"
@dundeeahmad,2024-08-12T05:16:21Z,2024-08-12T05:16:21Z,0,"Bang, tolong undang Bang Dandhy Laksono dan Bang Farid Gaban"
@anaksayangku,2024-08-11T15:30:17Z,2024-08-11T15:30:17Z,0,"Kaesang, gibran, jokowi datang coba biar kita tau wawasannya.."
@santrianyar6729,2024-08-11T13:35:11Z,2024-08-11T13:35:11Z,0,"Sorry bang, kayaknya posisi Raja dan Menterinya Bang Haris Kebalik wkwkwk"
@elgihikmatsyah7932,2024-08-11T08:18:27Z,2024-08-11T08:18:27Z,0,I wait you for invite Ganjar Pranowo 😂
@akubersaksi2198,2024-08-10T16:43:40Z,2024-08-10T16:43:40Z,0,Undang Komjen Dharma Pongrekeun
@arifserang921,2024-08-10T13:43:07Z,2024-08-10T13:43:07Z,0,No rocky no party🎉🎉🎉
@alvinkoeswanto8622,2024-08-10T06:16:06Z,2024-08-10T06:16:06Z,0,"10 thn kedepan, politik Indonesia isinya org2 yg di thn 98 blm lahir. Malah makin dilupakan 😂"
@zuhairyahya2146,2024-08-10T03:40:16Z,2024-08-10T03:40:16Z,0,"soal jiwasraya, pakde gua ngalamin itu bang, dia ga dapet uang pensiun karena uang itu di taro di asuransi tersebut"
@user-hr3cs4tb9z,2024-08-09T22:21:41Z,2024-08-09T22:22:27Z,0,Rocky gerung dong
@wekysindu4220,2024-08-09T19:33:41Z,2024-08-09T19:33:41Z,0,rocky panji  .... Come on Lah 😊
@kanelucifer6656,2024-08-09T15:25:51Z,2024-08-09T15:25:51Z,0,Kasus pulau Rempang...
@bidangspp,2024-08-09T10:20:47Z,2024-08-09T10:20:47Z,0,"Keren, walau konsentrasi pembicara agak terpecah........."
@adebachtiar9789,2024-08-09T10:19:45Z,2024-08-09T10:19:45Z,0,Sa ae jurgen klop
@bily_mufac,2024-08-09T07:17:23Z,2024-08-09T07:17:23Z,0,"Next harus ada observer bang, biar ga usah inget2 bagian siapa yg jalan. Sayang konsentrasinya obrolannya kepecah.."
@RivoQuraish,2024-08-09T05:47:33Z,2024-08-09T05:47:33Z,0,Luhut
@miftahquljayarosita4908,2024-08-09T01:53:36Z,2024-08-09T01:53:36Z,0,lama banget ga dengerin haris ashar❤
@muhammadabdulrokhim9415,2024-08-09T00:11:45Z,2024-08-09T00:11:45Z,0,Yang setuju panji undang rocky Gerung like dan coment. Rame ... Sama sama netral dan kritik
@lipkasein,2024-08-08T18:08:59Z,2024-08-08T18:08:59Z,0,.
@awandamaulidah4648,2024-08-08T18:03:37Z,2024-08-08T18:03:37Z,0,g aku skip iklan nya soalnya bintang tamu nya haris azhar😊
@Rianrolet,2024-08-08T12:48:53Z,2024-08-08T12:48:53Z,0,"yg sampe saat ini saya masih bingungin, kasus bang Haris Azhar ada indikasi Fitnah. Seharusnya Ada yg salah ga sih? bang haris Fitnah atau Benar..yg bikin bingung kok jadi engga ada yg salah dari keduanya."
@Rianrolet,2024-08-08T12:44:15Z,2024-08-08T12:44:15Z,0,Semoga Undang Harun Masikun
@asikinaje7782,2024-08-08T03:47:02Z,2024-08-08T03:47:02Z,1,"What the hell this content; you just playing catur game meanwhile you get &quot;Daging&quot; in those conversation.<br>Thanks Pandji, this is the real mencerdaskan kehidupan bangsa."
@abiiwismantoro9139,2024-08-07T23:54:50Z,2024-08-07T23:54:50Z,0,"Rocky gerung, ihsanudin nursi, yoook bisa yooook"
@bececat_channel,2024-08-07T16:12:51Z,2024-08-07T16:12:51Z,0,❤❤❤❤❤
@yofanggarayson,2024-08-07T16:02:59Z,2024-08-07T16:02:59Z,0,"Sebanyak ini yang nonton, ada yang nyadar ga sih posisi Raja sama Menteri Haris Azhar kebalik? <br>Gimana ceritanya Menteri makan pion di E4 (<a href=""https://www.youtube.com/watch?v=H703TwBUtM0&amp;t=3674"">1:01:14</a>) trus langsung skak, wkwkwk"
@rsbmahyudin7985,2024-08-07T15:52:03Z,2024-08-07T15:52:03Z,0,Hrs konsentrasi n fokus tingkat tinggi utk bs mencerna obrolan ini. Meleng dikit langsung &#39;nge-blang&#39; n keliatan bego.
@erwinnugraha3383,2024-08-07T15:24:17Z,2024-08-07T15:24:17Z,0,Penjelasan Asian value dari jurgen klopp ini lebih masuk akal.
@difadiawara7513,2024-08-07T14:09:27Z,2024-08-07T14:09:27Z,0,yg setuju undang bung rocky like
