author,published_at,updated_at,like_count,text
@kiekymaulana7111,2024-08-15T10:14:02Z,2024-08-15T10:14:02Z,0,Isinya daging semua
@sandikurniawan1125,2024-08-15T09:34:08Z,2024-08-15T09:34:08Z,0,makin gamau aja kaesang 😅
@najmaizzamikalaika9197,2024-08-15T01:49:46Z,2024-08-15T01:49:46Z,0,"<a href=""https://www.youtube.com/watch?v=1B2p8bOFvgs&amp;t=3281"">54:41</a> moment ngakak anjir..<br>&quot;Skak&quot;<br>&quot;He&#39;euh&quot;<br>Trus panji ngelamun..<br>Ngoahahhaha"
@najmaizzamikalaika9197,2024-08-15T01:18:29Z,2024-08-15T01:18:29Z,0,Kang Pandji ini keren..<br>Lebih keren lagi kalo gerak/langkah catur di perlihatkan . At least di setiap langkah tampil gambar caturnya..
@user-nn6zo5nl3g,2024-08-14T15:42:42Z,2024-08-14T15:42:42Z,0,"Bukannya panji juga dinasti ya di stand up, wah bicara dinasti dia sendiri aja membangun dinasti di stand up"
@SuhermanBaba,2024-08-14T06:13:04Z,2024-08-14T06:13:04Z,0,Ridwan kamil ngawur
@budirush,2024-08-14T04:20:18Z,2024-08-14T04:20:18Z,0,"Politik Dynasti sama masyarakat ya nggak apa apa juga.<br>Tapi ini, mukidi anaknya siapa....? Ayam sayur sama tokek buntung aja..."
@syaifuddin85,2024-08-13T22:43:37Z,2024-08-13T22:43:37Z,0,RK di jabar<br>ANIS di jakarta<br>Terus koalisi dalam membangun kota.<br>Tidak maukah❓️
@syaifuddin85,2024-08-13T22:18:25Z,2024-08-13T22:18:25Z,0,"<a href=""https://www.youtube.com/watch?v=1B2p8bOFvgs&amp;t=1050"">17:30</a> Yang korup² sepertinya orang² yang sudah mapan."
@suronoono5175,2024-08-13T17:20:57Z,2024-08-13T17:20:57Z,0,Jos kang Emil...
@suronoono5175,2024-08-13T17:13:48Z,2024-08-13T17:13:48Z,0,Panji yg diskak mati oleh Rk...
@chingmei5562,2024-08-13T14:36:48Z,2024-08-13T14:36:48Z,0,Undang pak ahok 😂😂😂😂 pengen dngr klu di wawancara sama kak panji gemana 😊😊😊
@user-qg4jj9jg4p,2024-08-13T00:54:19Z,2024-08-13T00:54:19Z,0,"1 hal lgi,politik dalam sistem demokrasi hal yg biasa menciptakan dinasti.<br>Krn demokrasi bicara ttg hak.<br>Kita gak bsa melarang siapapun untuk mengunakan hak politik seseorang selama kualifikasi syarat terpenuhi,istri,anak,ponakan,cucu pun boleh untuk ikut kontestasi kekuasaan."
@user-qg4jj9jg4p,2024-08-13T00:49:40Z,2024-08-13T00:49:40Z,0,"Panji ini gak melihat realitas faktual yg dikatakan oleh RK.<br>masyarakat indonesia memang gak pernah serius dalam hal berpolitik.<br>Panji klo mau idealismenya jalan,mulai skrng pikirkan gmn caranya mencerdaskan masyarakat biar masyarakat pinter dalam berpolitik.<br>Caranya : mulailah standup komedi dng tema2 politik dipanggung2 desa,jng stand up ke luar negeri dng orientasi cuan melulu.<br>Sebulan skli road trip ke desa2 stand up politik bersama temen2."
@Mdra07-Jateng,2024-08-12T19:35:06Z,2024-08-12T19:35:06Z,0,"Si panjul sakit hati amat sama pemerintah,bloon loe jul"
@Mdra07-Jateng,2024-08-12T19:23:36Z,2024-08-12T19:23:36Z,0,"Lah panjul bisa apa dia,masih bocil ,GK pernah jadi pemimpin politik😂😂😂"
@Axelsen-tf2qk,2024-08-12T17:06:53Z,2024-08-12T17:06:53Z,1,Ndk ada mutu podcast ni ..kq mw orang like nya
@sambudi9579,2024-08-12T13:55:00Z,2024-08-12T13:55:00Z,0,Menurut saya simpel aj siapapun yg menjabat kalau terbukti dia melanggar ya kita protes kalau baik ya kita dukung itu pandangan saya rakyat kecil
@teguhsantoso8191,2024-08-12T07:04:43Z,2024-08-12T07:04:43Z,0,"bang pandji pengkritiknya,kaesang pelakunya,dan yg menang pasti pelakunya"
@user-zn1fw8rl4e,2024-08-11T14:46:05Z,2024-08-11T14:46:05Z,0,"Yang saya kurang suka dari rk adalah penggunaan apbd sampai 1T  untuk membangun mesjid yang terlalu mewah, dan banyak punglinya lagi."
@masdarkito9598,2024-08-11T07:55:36Z,2024-08-11T07:55:36Z,0,"Memang praktek dinasti terjadi di negara2 di dunia ini, tapi bukan berarti karena hal itu terjadi, lalu bisa dijadikan pembenaran.<br><br>Karena itu adalah politik kekuasaan, bukan demokrasi"
@ngopigameps,2024-08-11T01:16:31Z,2024-08-11T01:16:31Z,0,"Mohon maaf bukan masalah mapan tapi kesadaran, karena nafsu dunia takan terpuasakan analoginya seperti meminum air garam semakin diminum semakin haus, jadi yg membuat orang tdk korup itu adalah kesadaran bukan kemapanan."
@sofianitv,2024-08-10T19:58:55Z,2024-08-10T19:58:55Z,0,Age of empire 😂
@doeltosuro5156,2024-08-10T09:17:16Z,2024-08-10T09:17:16Z,0,Kadang orang yg suka gk percaya dan mencaci itu adalah orang yg jelek hati....kalau baik hati ya masuk aja ke arena jadi bisa di nilai hanya banyak ngomong atau pinter beneran...satu yg pasti pembelajaran buat anak kita aja...memang ayahnya pinter atau cuma iri dengki...karena anak dapat jawaban dari sosmed
@quokkahedgehog,2024-08-10T09:08:43Z,2024-08-10T09:08:43Z,0,"Walaupun beda pandangan politik dengan RK, tapi perlu diakui RK pemikirannya hebat"
@asepsuntana7734,2024-08-10T08:20:49Z,2024-08-10T08:20:49Z,0,"Dengan jawaban dan narasi yang kang Ridwan sampaikan, saya tadinya berharap kang Pandji lebih &quot;jauh&quot; menggali daging substansi persoalan perpolitikan kita. Namun saya paham, kang Pandji sedikit banyak ingin mewakili pertanyaan umum dari publik (terlebih dahulu). <br><br>Diskusi perlu dilanjutkan...."
@Fr33Doom-bb2th,2024-08-10T04:16:21Z,2024-08-10T04:16:21Z,0,kembalikan ke tahun 50 saat jakarta jadi salah satu kota jawa barat. biar apa? biar bisa milih komeng. uhuy
@ryancupacup,2024-08-09T13:38:22Z,2024-08-09T13:38:22Z,0,"In my opinion,, respect ke RK waktu 2013 dgn tagline Bandung juara, tapi stlah maju gubernur sudah memudar. Janji Bandung juara banyak tidak terealisasi.. Apalagi setelah nyemplung ke penguasa terlihat banyak mnutup mata dgn realita yg ada. Contoh hal ketika MK merubah aturan dan secara pengalaman RK lebih layak dibandingkan gibran, tapi mau2nya jadi kacung samsul!!"
